Trace File,Cache Size (KB),Block Size (B),Policy,Hit Rate (%),CPI
A-9_new_1.5.pdf.trc,256,64,RND,98.7467,4.70
A-9_new_1.5.pdf.trc,1024,8,RR,94.5457,4.10
A-9_new_1.5.pdf.trc,1024,8,RND,94.5457,4.10
A-9_new_1.5.pdf.trc,1024,16,RR,96.8477,4.23
A-9_new_1.5.pdf.trc,1024,16,RND,96.8475,4.23
A-9_new_1.5.pdf.trc,1024,64,RR,98.7990,4.65
A-9_new_1.5.pdf.trc,1024,64,RND,98.7993,4.65
A-9_new_trunk2.trc,8,8,RR,86.8578,4.90
A-9_new_trunk2.trc,8,8,RND,86.8066,4.91
A-9_new_trunk2.trc,8,16,RR,91.2411,5.48
A-9_new_trunk2.trc,8,16,RND,91.2722,5.47
A-9_new_trunk2.trc,8,64,RR,95.0090,8.18
A-9_new_trunk2.trc,8,64,RND,94.9295,8.25
A-9_new_trunk2.trc,64,8,RR,93.5834,4.18
A-9_new_trunk2.trc,64,8,RND,93.5910,4.17
A-9_new_trunk2.trc,64,16,RR,96.0737,4.37
A-9_new_trunk2.trc,64,16,RND,96.0813,4.37
A-9_new_trunk2.trc,64,64,RR,98.1181,5.25
A-9_new_trunk2.trc,64,64,RND,98.1022,5.27
A-9_new_trunk2.trc,256,8,RR,93.9077,4.14
A-9_new_trunk2.trc,256,8,RND,93.9104,4.14
A-9_new_trunk2.trc,256,16,RR,96.4077,4.30
A-9_new_trunk2.trc,256,16,RND,96.4070,4.30
A-9_new_trunk2.trc,256,64,RR,98.5557,4.84
A-9_new_trunk2.trc,256,64,RND,98.5599,4.84
A-9_new_trunk2.trc,1024,8,RR,93.9167,4.14
A-9_new_trunk2.trc,1024,8,RND,93.9167,4.14
A-9_new_trunk2.trc,1024,16,RR,96.4153,4.30
A-9_new_trunk2.trc,1024,16,RND,96.4153,4.30
A-9_new_trunk2.trc,1024,64,RR,98.5779,4.82
A-9_new_trunk2.trc,1024,64,RND,98.5779,4.82
